原子序数,元素名,英文名,元素符号,相对原子质量,发现,状态,熔点,单位,沸点,单位,密度,单位,比热,单位,蒸发热,单位,熔化热,单位,导电率,单位,导热系数,单位
1,氢,Hydrogen,H,1.00797,"1766年, 在英国伦敦, 由 H. Cavendish 发现。","无味、无色、无臭、极易燃烧的气体。",-258.975,"℃",-252.732,"℃",0.0899,"g/L/273K,1atm",14.304,"J/gK",0.44936,"KJ/mol",0.05868,"KJ/mol",,"",0.001815,""
2,氦,Helium,He,4.002602,"Norman Lockyer 和 Edward Frankland 在1868年的一次日食期间, 从太阳光谱中观测到。","轻的无臭、无色、无味的惰性气体。",-272.05,"℃",-268.785,"℃",0.1785,"g/L/273K,26atm",5.193,"J/gK",,"KJ/mol",5.23,"KJ/mol",,"",0.00152,"W/cmK"
3,锂,Lithium,Li,6.941,"1817年在瑞典的斯德哥尔摩,由 J.A. Arfvedson 发现。","软的银白色金属,是最轻的金属。",180.7,"℃",1342,"℃",0.534,"g/CC,300K",3.6,"J/gK",145.92,"KJ/mol",3,"KJ/mol",0.108,"／106/cm",0.847,"／W/cmK"
4,铍,Beryllium,Be,9.012182,"1797年在法国巴黎,由Nicholas Louis Vauquelin发现。","坚固、硬的灰白色金属，是最轻的硬质金属。",1278,"℃",2970,"℃",1.848,"g/cc,300K",1.82,"J/gK",292.4,"KJ/mol",12.2,"KJ/mol",0.313,"／106/cm",2.01,"／W/cmK"
5,硼,Boron,B,10.811,"1808年,法国巴黎的L.J. Lussac and L.J. Thenard 和 英国伦敦的 Humphry Davy 先生发现。","黄棕色非金属晶体。",2300,"℃",4002,"℃",2.34,"g/cc,300K",1.02,"J/gK",489.7,"KJ/mol",50.2,"KJ/mol",1e-12,"／106/cm",0.274,"／W/cmK"
6,碳,Carbon,C,12.011,"史前人类就已经知道。","纯品为石墨和金刚石",3500,"℃",4827,"℃",2.26,"g/cc，300K",0.71,"J/gK",355.8,"KJ/mol",,"KJ/mol",0.00061,"／106/cm",1.29,"／W/cmK"
7,氮,Nitrogen,N,14.00674,"1772年在苏格兰爱丁堡,由 D. Rutherford 发现。","无色、无味、无臭的气体。",-209.86,"℃",-195.65,"℃",1.2506,"g/L，273K，1atm",1.04,"J/gK",2.7928,"KJ/mol",0.3604,"KJ/mol",,"／106/cm",0.0002598,"／W/cmK"
8,氧,Oxygen,O,15.9994,"1774年分别由英国利兹的 J. Priestley 和瑞典乌普萨拉的 C.W. Scheele 发现。","无色、无臭、无味的气体。",-222.65,"℃",-182.82,"℃",1.429,"g/L，273K，1atm",0.92,"J/gK",3.4099,"KJ/mol",0.22259,"KJ/mol",,"／106/cm",0.0002674,"／W/cmK"
9,氟,Fluorine,F,18.9984,"1886年在法国巴黎,由 H. Moissan 首次分离出。","氯黄色气体。",-219.52,"℃",-188.05,"℃",1.696,"g/L，273K，1atm",0.82,"J/gK",3.2698,"KJ/mol",0.2552,"KJ/mol",,"／106/cm",0.000279,"／W/cmK"
10,氖,Neon,Ne,20.1797,"1898年在英国伦敦,由 William Ramsey 和 M.W. 先生发现。","无色、无味、无臭的惰性气体",-248.447,"℃",-245.904,"℃",0.9,"g/L，273K，1atm",0.904,"J/gK",1.7326,"KJ/mol",0.3317,"KJ/mol",,"／106/cm",0.000493,"／W/cmK"
